store_id,item_id,model,MAE,RMSE,WAPE_percent
CA_1,HOBBIES_1_014,Weekday Mean,1.1785714285714286,1.4607972383012544,78.57142857142857
CA_1,HOBBIES_1_015,Last Value,2.0357142857142856,2.6659225152173605,72.15189873417721
CA_1,HOBBIES_1_015,Seasonal Naive 28,3.25,4.288689443508021,115.18987341772151
CA_1,HOBBIES_1_015,28-Day Mean,2.239795918367347,2.7636488745933003,79.38517179023509
CA_1,HOBBIES_1_015,Weekday Mean,2.3660714285714284,2.9828378146609698,83.86075949367088
CA_1,HOBBIES_1_016,Last Value,3.607142857142857,6.287743179051947,59.76331360946746
CA_1,HOBBIES_1_016,Seasonal Naive 28,5.428571428571429,8.52726718909908,89.94082840236686
CA_1,HOBBIES_1_016,28-Day Mean,3.607142857142857,6.2937246037426124,59.76331360946746
CA_1,HOBBIES_1_016,Weekday Mean,4.142857142857143,6.85288651382967,68.63905325443787
CA_1,HOBBIES_1_017,Last Value,1.3928571428571428,2.2280677086403173,100.0
CA_1,HOBBIES_1_017,Seasonal Naive 28,1.4285714285714286,2.104417123236605,102.56410256410255
